Rentrée / Session;Série du bac;Genre;Nombre total de bacheliers;Néo-bacheliers poursuivant à l'université (hors IUT) dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant à l'université (hors IUT) dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en IUT dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en IUT dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur privé dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur privé dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur public dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur public dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS (secteur non renseigné) dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS (secteur non renseigné) dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur privé dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur privé dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur public dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur public dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation (secteur non renseigné) dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation (secteur non renseigné) dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur privé dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur privé dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur public dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur public dans la même académie que celle d'obtention de leur baccalauréat;Académie du Bac;Code académie du Bac;Code Paysage structure de l'académie
2011;Bac général;Féminin;5945.0;693.48;2734.04;136.0;271.0;27.0;76.0;181.0;290.0;11.49;63.0;45.32;379.0;64.12;161.0;237.63;48.22;45.56;57.0;44.48;28.0;Montpellier;A11;p095y
2011;Bac professionnel;Féminin;3138.0;22.0;334.0;4.0;38.0;0.0;0.0;0.0;0.0;18.55;112.11;13.0;138.0;47.0;246.0;9.96;4.18;0.0;0.0;0.0;0.0;Nancy-Metz;A12;lPQ79
2011;Bac technologique;Féminin;2584.0;47.07;496.0;27.0;140.0;0.0;0.0;4.0;13.0;10.05;71.18;15.15;164.0;90.07;645.0;48.48;110.38;5.0;4.0;2.0;13.0;Nancy-Metz;A12;lPQ79
2011;Bac général;Féminin;8911.0;770.68;3553.0;184.0;457.0;36.0;135.0;176.0;339.0;17.82;21.68;67.42;541.0;97.16;285.0;357.96;120.11;128.89;594.16;67.19;33.0;Nantes;A17;aN9g0
2011;Bac technologique;Masculin;3316.0;70.05;315.0;91.0;295.0;3.0;17.0;9.0;40.0;42.79;101.08;38.16;636.0;103.21;824.0;63.44;21.7;29.0;44.0;2.21;29.0;Nantes;A17;aN9g0
2011;Bac professionnel;Féminin;2425.0;28.0;138.0;8.0;17.0;0.0;0.0;0.0;0.0;21.24;144.25;12.0;136.0;59.0;270.0;9.9;5.04;2.0;0.0;1.0;0.0;Orléans-Tours;A18;K564L
2011;Bac général;Féminin;7318.0;507.53;3349.04;105.0;41.0;101.0;207.0;99.0;884.0;8.68;31.45;30.35;197.0;32.13;121.0;177.94;110.92;203.14;398.57;13.0;245.03;Paris;A01;t4Slt
2011;Bac professionnel;Masculin;2091.0;28.0;83.0;5.0;26.0;0.0;0.0;0.0;0.0;35.49;154.04;9.0;52.0;59.0;333.0;5.43;1.09;0.02;0.0;0.0;0.0;Reims;A19;qeGjv
2011;Bac technologique;Masculin;1203.0;32.02;122.0;40.0;134.0;0.0;0.0;5.0;19.0;32.4;39.04;25.06;61.0;58.08;412.0;24.78;6.11;3.0;6.0;3.08;4.0;Reims;A19;qeGjv
2011;Bac professionnel;Féminin;3703.0;22.0;166.0;4.0;19.0;0.0;0.0;0.0;0.0;22.54;88.0;48.0;410.0;40.0;293.0;17.73;7.95;5.0;1.0;0.0;0.0;Rennes;A14;Vb9DN
2011;Bac professionnel;Masculin;5635.0;12.0;192.0;10.0;36.0;0.0;0.0;0.0;0.0;56.32;294.32;59.0;603.0;90.0;620.0;15.73;2.95;8.05;0.0;0.0;0.0;Rennes;A14;Vb9DN
2011;Bac professionnel;Féminin;2001.0;5.0;227.0;3.0;10.0;0.0;0.0;0.0;0.0;12.73;121.0;2.0;65.0;10.0;154.0;7.73;2.14;1.0;1.0;0.0;0.0;Strasbourg;A15;yIx1Q
2011;Bac général;Masculin;5274.0;356.09;1956.09;142.09;693.04;22.0;143.0;90.09;493.0;13.77;39.4;19.44;212.04;57.04;135.0;318.19;177.8;47.22;181.09;34.21;54.0;Toulouse;A16;ZpaDh
2011;Bac technologique;Féminin;2939.0;63.04;465.04;52.0;178.0;0.0;0.0;4.0;18.0;18.64;44.13;46.18;322.0;129.09;605.0;59.23;48.62;6.0;44.0;2.0;6.0;Toulouse;A16;ZpaDh
2011;Bac général;Masculin;12595.0;2037.37;2861.0;461.28;805.0;300.0;222.0;867.19;1178.0;39.49;60.67;83.02;113.0;165.09;213.0;971.27;307.53;582.65;202.0;334.79;31.0;Versailles;A25;AdzMb
2011;Bac technologique;Masculin;5153.0;208.09;647.0;213.0;523.0;1.0;10.0;34.0;78.0;95.84;220.02;67.28;195.0;344.28;1407.09;117.03;38.12;63.0;31.0;20.37;26.0;Versailles;A25;AdzMb
2012;Bac général;Féminin;4223.0;835.51;1303.0;107.08;217.0;31.0;0.0;176.0;167.0;11.98;37.08;45.48;69.0;81.03;212.0;125.23;0.28;202.52;75.0;81.94;130.0;Amiens;A20;qRVdr
2012;Bac professionnel;Féminin;1411.0;18.09;73.0;2.0;16.0;0.0;0.0;0.0;0.0;12.86;59.07;16.11;82.0;25.0;205.0;6.3;0.09;0.0;1.0;0.0;2.0;Besançon;A03;XTUly
2012;Bac technologique;Masculin;1069.0;18.0;145.0;28.0;119.0;1.0;0.0;9.0;40.0;11.24;114.2;18.05;41.0;50.02;408.0;18.98;0.13;2.13;7.0;2.0;24.0;Besançon;A03;XTUly
2012;Bac technologique;Féminin;1174.0;32.09;144.0;15.02;64.0;1.0;0.0;1.0;12.0;5.84;16.02;22.09;82.0;74.02;252.0;18.71;0.08;2.04;15.0;18.04;20.0;Clermont-Ferrand;A06;lE9Jm
2012;Bac professionnel;Féminin;236.0;8.02;14.0;0.0;4.0;0.0;0.0;0.0;0.0;0.74;1.0;0.02;3.0;4.0;16.0;1.2;0.0;1.0;0.0;0.0;3.0;Corse;A27;V4RgR
2012;Bac professionnel;Masculin;358.0;10.01;22.0;1.0;16.0;0.0;0.0;0.0;0.0;3.95;0.0;0.0;0.0;10.0;34.0;1.2;0.0;0.0;0.0;0.0;0.0;Corse;A27;V4RgR
2012;Bac technologique;Masculin;240.0;12.0;42.0;4.0;18.0;0.0;0.0;0.0;0.0;1.03;0.0;2.01;4.0;9.0;69.0;3.61;0.0;2.02;0.0;2.0;3.0;Corse;A27;V4RgR
2012;Bac général;Féminin;10280.0;2931.19;2714.0;208.13;480.06;50.0;27.0;489.0;486.0;57.49;23.0;133.12;76.0;269.06;315.0;280.21;12.93;320.5;49.06;283.19;111.0;Créteil;A24;Um9ge
2012;Bac professionnel;Masculin;1282.0;14.02;130.01;3.0;0.0;0.0;0.0;0.0;0.0;7.91;12.0;8.0;38.0;50.0;126.0;3.04;0.0;0.0;0.0;0.0;1.0;Guadeloupe;A32;e7zrb
2012;Bac général;Féminin;9641.0;310.25;5094.0;18.2;562.0;19.0;190.0;64.0;568.0;10.79;62.2;10.18;295.0;31.07;647.0;294.09;14.43;75.96;841.79;93.3;226.0;Lille;A09;kcTzp
2012;Bac professionnel;Féminin;775.0;19.05;52.0;4.0;4.0;0.0;0.0;0.0;0.0;9.1;2.0;8.06;32.0;32.0;121.0;3.39;0.01;1.0;2.0;0.0;0.0;Limoges;A22;TR3Z5
